environment_id,env_seed,run_within_environment,algorithm_seed,algorithm,wall_clock_s,evaluatePath_calls,search_fitness_calls,rescueA_adopted,rescueB_adopted,search_time_s,topk_time_s,recovery_time_s,actual_iterations_or_nodes,planner_success,budget_reached,timed_out,exception,path_points,J,penalty_total,final_feasible,failure_reason
6,1103,3,1273,RA-ALA,230.5960657,17547,3240,0,0,212.407332,0.5910806,0,80,1,1,0,0,10,8.40917146919151,0,1,none
6,1103,3,1284,Energy-A*,15.0028318,14079,0,0,0,NaN,NaN,NaN,1131,0,1,1,0,2,NaN,NaN,0,timeout_without_feasible_output
6,1103,3,1295,Informed-RRT*,15.0061895,6921,0,0,0,NaN,NaN,NaN,1064,0,1,1,0,2,NaN,NaN,0,timeout_without_feasible_output
6,1103,3,1306,ST-EA*,1.4058755,1249,0,0,0,NaN,NaN,NaN,53,1,0,0,0,47,9.15067694141527,0,1,none
6,1103,3,1317,Greedy,0.4068431,1,0,0,0,NaN,NaN,NaN,1,1,0,0,0,211,12404.3605676054,122.910741594659,0,final_hard_constraint_violation
7,1227,1,1291,RA-ALA,202.9161818,7307,3240,0,0,195.0269958,0.5563025,0,80,1,1,0,0,10,15.7966813033688,0,1,none
7,1227,1,1302,Energy-A*,3.964755,4056,0,0,0,NaN,NaN,NaN,258,1,0,0,0,66,12.1233890860294,0,1,none
7,1227,1,1313,Informed-RRT*,15.1017799,7828,0,0,0,NaN,NaN,NaN,1098,1,1,1,0,40,66.623670163483,0.513513513513514,0,timeout_without_feasible_output
7,1227,1,1324,ST-EA*,8.5815667,9313,0,0,0,NaN,NaN,NaN,389,1,0,0,0,57,11.3935111413448,0,1,none
7,1227,1,1335,Greedy,0.1123167,1,0,0,0,NaN,NaN,NaN,1,1,0,0,0,48,2642.88389800723,25.1983913986069,0,final_hard_constraint_violation
7,1227,2,1344,RA-ALA,263.2801138,7307,3240,0,0,256.1893535,0.8206986,0,80,1,1,0,0,10,22.9604752473979,0,1,none
7,1227,2,1355,Energy-A*,4.3702869,4056,0,0,0,NaN,NaN,NaN,258,1,0,0,0,66,12.1233890860294,0,1,none
7,1227,2,1366,Informed-RRT*,15.0701967,7287,0,0,0,NaN,NaN,NaN,1013,1,1,1,0,33,1126.75402668859,10.987463107135,0,timeout_without_feasible_output
7,1227,2,1377,ST-EA*,9.1669653,9313,0,0,0,NaN,NaN,NaN,389,1,0,0,0,57,11.3935111413448,0,1,none
7,1227,2,1388,Greedy,0.1205108,1,0,0,0,NaN,NaN,NaN,1,1,0,0,0,48,2642.88389800723,25.1983913986069,0,final_hard_constraint_violation
7,1227,3,1397,RA-ALA,219.8729086,7307,3240,0,0,212.5734487,0.6147352,0,80,1,1,0,0,10,13.5267483807815,0,1,none
7,1227,3,1408,Energy-A*,4.2117224,4056,0,0,0,NaN,NaN,NaN,258,1,0,0,0,66,12.1233890860294,0,1,none
7,1227,3,1419,Informed-RRT*,15.0817756,7286,0,0,0,NaN,NaN,NaN,1045,1,1,1,0,38,2220.00956399149,21.9381455522349,0,timeout_without_feasible_output
7,1227,3,1430,ST-EA*,9.1163146,9313,0,0,0,NaN,NaN,NaN,389,1,0,0,0,57,11.3935111413448,0,1,none
7,1227,3,1441,Greedy,0.1289132,1,0,0,0,NaN,NaN,NaN,1,1,0,0,0,48,2642.88389800723,25.1983913986069,0,final_hard_constraint_violation
8,1475,1,1539,RA-ALA,209.141364,6749,3240,0,0,202.4263599,0.5975072,0,80,1,1,0,0,10,7.6568105357582,0,1,none
